Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,250.0
relay_connectivity_config,ALL_CONNECT
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
max_steps,1000
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v4.csv
EW_JAMMER_ACTUAL_BW_AREA,2

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible
20,200.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
20,200.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
21,210.0,0.0,13,S1,R1,True,4584515.579933228,375000.0,2,True
21,210.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
21,210.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
21,210.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
21,210.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
21,210.0,0.0,13,R2,M1,True,4600663.240516744,1000000.0,2,True
21,210.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
21,210.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
21,210.0,0.0,13,R3,A1,True,4649940.241094009,375000.0,2,True
21,210.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
