Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,300.0
relay_connectivity_config,CROSS_ROW
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,2
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
FLIGHT_MARGIN_PAST_EW_M,0
logging_enabled,True
csv_output_enabled,True
csv_filename_prefix,swarm_log_detailed_
EW_JAMMER_ACTUAL_BW_AREA,2
All_Drones_Passed_EW_X,False

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,required_safety_capacity,bw_area,is_ew_susceptible,theoretical_cap,bpsk_cap,qpsk_cap,16qam_cap,64qam_cap
4,40.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
4,40.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
4,40.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
5,50.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
5,50.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
5,50.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
5,50.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
5,50.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
6,60.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
6,60.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
6,60.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
6,60.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
6,60.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
7,70.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
7,70.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
7,70.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
7,70.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
7,70.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
8,80.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
8,80.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
8,80.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
8,80.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
8,80.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
9,90.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
9,90.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
9,90.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
9,90.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
9,90.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
10,100.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
10,100.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
10,100.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
10,100.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
10,100.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
11,110.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
11,110.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
11,110.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
11,110.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
11,110.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
12,120.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
12,120.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
12,120.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
12,120.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
12,120.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
13,130.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
13,130.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
13,130.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
13,130.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
13,130.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
14,140.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
14,140.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
14,140.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
14,140.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
14,140.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
15,150.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
15,150.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
15,150.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
15,150.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
15,150.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
16,160.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
16,160.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
16,160.0,0.0,13,R3,A2,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,R4,A3,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,R4,A4,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
16,160.0,0.0,13,R1,R3,500000.0,2,True,282383.3700567034,0.0,0.0,0.0,0.0
16,160.0,0.0,13,R2,R4,500000.0,4,False,6666616.537649474,500000.0,1000000.0,2000000.0,3000000.0
17,170.0,0.0,13,S1,R1,250000.0,2,True,234248.34102802267,0.0,0.0,0.0,0.0
17,170.0,0.0,13,S2,R1,250000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
17,170.0,0.0,13,S3,R2,250000.0,1,False,7567507.465723593,500000.0,1000000.0,2000000.0,3000000.0
17,170.0,0.0,13,S4,R2,250000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
17,170.0,0.0,13,R1,M1,1000000.0,1,False,7567507.465723596,500000.0,1000000.0,2000000.0,3000000.0
17,170.0,0.0,13,R2,M1,1000000.0,2,True,2.5116946016699155e-05,0.0,0.0,0.0,0.0
17,170.0,0.0,13,M1,R3,1000000.0,4,False,6505669.963556636,500000.0,1000000.0,2000000.0,3000000.0
17,170.0,0.0,13,M1,R4,1000000.0,3,False,6780846.943421937,500000.0,1000000.0,2000000.0,3000000.0
17,170.0,0.0,13,R3,A1,250000.0,2,True,625474.7873102182,0.0,0.0,0.0,0.0
